transactionId,amount,currency,status,paymentMethod,orderId,timestamp,customerEmail
GW_TXN_138,933.89,USD,SUCCESS,CARD,ORD_20138,2026-08-24 10:00:00,fiona@gallagher.co
GW_TXN_139,387.53,USD,SUCCESS,CARD,ORD_20139,2026-08-25 10:00:00,charlie@peanuts.org
GW_TXN_140,53.73,USD,SUCCESS,CARD,ORD_20140,2026-08-25 10:00:00,laura@tomb.org
GW_TXN_141,1167.67,USD,SUCCESS,CARD,ORD_20141,2026-08-25 10:00:00,charlie@peanuts.org
GW_TXN_142,1051.10,USD,SUCCESS,CARD,ORD_20142,2026-08-26 10:00:00,evan.wright@enterprise.com
GW_TXN_143,225.77,USD,SUCCESS,CARD,ORD_20143,2026-08-26 10:00:00,charlie@peanuts.org
GW_TXN_144,738.79,USD,SUCCESS,CARD,ORD_20144,2026-08-26 10:00:00,hannah@hogwarts.edu
GW_TXN_145,178.65,USD,SUCCESS,CARD,ORD_20145,2026-08-27 10:00:00,fiona@gallagher.co
GW_TXN_146,325.37,USD,SUCCESS,CARD,ORD_20146,2026-08-27 10:00:00,diana@themyscira.net
GW_TXN_147,168.52,USD,SUCCESS,CARD,ORD_20147,2026-08-29 10:00:00,hannah@hogwarts.edu
GW_TXN_148,752.82,USD,SUCCESS,CARD,ORD_20148,2026-08-30 10:00:00,ian.malcolm@chaos.com
GW_TXN_149,712.67,USD,SUCCESS,CARD,ORD_20149,2026-08-31 10:00:00,charlie@peanuts.org
GW_TXN_150,627.80,USD,SUCCESS,CARD,ORD_20150,2026-09-01 10:00:00,ian.malcolm@chaos.com
GW_TXN_151,232.10,USD,SUCCESS,CARD,ORD_20151,2026-09-02 10:00:00,ian.malcolm@chaos.com
GW_TXN_152,797.95,USD,SUCCESS,CARD,ORD_20152,2026-09-03 10:00:00,gmiller@apex.org
GW_TXN_153,871.49,USD,SUCCESS,CARD,ORD_20153,2026-09-04 10:00:00,ian.malcolm@chaos.com
GW_TXN_154,704.21,USD,SUCCESS,CARD,ORD_20154,2026-09-05 10:00:00,laura@tomb.org
GW_TXN_155,420.00,USD,SUCCESS,CARD,ORD_20155,2026-09-06 10:00:00,billing@acmeglobalinctrunc.com
GW_TXN_156,750.00,USD,SUCCESS,CARD,ORD_20156,2026-09-06 10:00:00,billing@fintechsolutionintl.com
GW_TXN_157,310.00,USD,SUCCESS,CARD,ORD_20157,2026-09-06 10:00:00,billing@charliebrownpeanuts.com
GW_TXN_158,890.00,USD,SUCCESS,CARD,ORD_20158,2026-09-06 10:00:00,billing@enterpriseclientcorp.com
GW_TXN_159,560.00,USD,SUCCESS,CARD,ORD_20159,2026-09-06 10:00:00,billing@apexdynamicsglobal.com
GW_TXN_160,680.00,USD,SUCCESS,CARD,ORD_20160,2026-09-06 10:00:00,billing@gallagherlogisticsltd.com
GW_TXN_161,999.00,USD,SUCCESS,WIRE,ORD_20161,2026-08-15 10:00:00,stuck.funds@anomaly.io
GW_TXN_162,150.00,USD,SUCCESS,CARD,ORD_20162,2026-08-15 10:02:00,double.charge@victim.com
GW_TXN_163,350.00,USD,DISPUTED,CARD,ORD_20163,2026-09-09 10:00:00,disputed_0@chargeback.com
GW_TXN_164,400.00,USD,DISPUTED,CARD,ORD_20164,2026-09-09 10:00:00,disputed_1@chargeback.com
GW_TXN_165,450.00,USD,DISPUTED,CARD,ORD_20165,2026-09-09 10:00:00,disputed_2@chargeback.com
